ID,average
ID1,1.4791666666666667
ID2,-0.041666666666666664
ID3,-0.3125
ID4,6.729166666666667
ID5,-0.3125
ID6,70.125
ID7,-0.020833333333333332
ID8,-0.16666666666666666
ID9,7.604166666666667
ID10,13.166666666666666
ID11,6.375
ID12,15.583333333333334
ID13,6.791666666666667
ID14,-0.0625
ID15,24.604166666666668
ID16,2.5
ID17,-0.16666666666666666
ID18,2.9375
ID19,4.0
ID20,29.416666666666668
ID21,-0.16666666666666666
ID22,-0.14583333333333334
ID24,45.083333333333336
ID25,0.4166666666666667
ID26,1.375
ID27,-0.20833333333333334
ID28,1.0
ID29,-0.125
ID30,0.2916666666666667
ID31,-1.0
ID32,-0.14583333333333334
ID33,1.5
ID34,0.5
ID35,39.958333333333336
ID36,5.4375
ID37,-0.020833333333333332
ID38,32.395833333333336
ID39,1.5
ID40,7.9375
ID41,-0.020833333333333332
ID42,24.25
ID43,-0.375
ID44,-0.3333333333333333
ID45,-0.020833333333333332
ID46,0.2916666666666667
ID47,-0.22916666666666666
ID48,34.4375
ID49,35.708333333333336
ID50,-1.0
ID51,-1.0
ID52,-0.25
ID53,-0.2708333333333333
ID55,-0.14583333333333334
ID56,-0.2708333333333333
ID57,-1.0
ID58,0.08333333333333333
ID59,-1.0
ID60,-0.020833333333333332
ID61,-1.0
ID62,-0.2916666666666667
ID63,-0.3541666666666667
ID64,49.3125
ID65,-0.125
ID66,-0.1875
ID67,0.0
ID68,13.375
ID71,-0.3541666666666667
ID73,-0.0625
ID74,13.270833333333334
ID75,-0.5
ID76,-1.0
ID77,23.0625
ID79,0.7291666666666666
ID81,-0.5
ID82,-0.1875
ID83,-0.4166666666666667
ID84,18.625
ID85,5.083333333333333
ID87,0.0
ID88,10.0
ID89,0.875
ID90,13.958333333333334
ID91,1.25
ID92,49.083333333333336
ID98,1.7291666666666667
ID99,-1.0
ID100,-0.4583333333333333
ID101,14.625
ID102,5.854166666666667
ID103,7.3125
ID104,-0.20833333333333334
ID105,131.70833333333334
ID106,-0.14583333333333334
ID107,4.208333333333333
ID108,26.020833333333332
ID109,71.375
ID110,-0.10416666666666667
ID111,3.5208333333333335
ID112,307.2083333333333
ID113,9.0625
ID114,6.75
ID115,2.4791666666666665
ID116,26.833333333333332
ID117,11.854166666666666
ID118,10.791666666666666
ID119,2.5625
ID120,-0.2708333333333333
ID121,-1.0
ID122,0.4583333333333333
ID123,3.5833333333333335
ID124,0.8125
ID125,173.4375
ID126,-0.14583333333333334
ID127,-0.5
ID128,-0.4166666666666667
ID129,-0.16666666666666666
ID130,4.375
ID131,-1.0
ID132,0.0
ID133,4.520833333333333
ID135,0.0
ID138,-0.2708333333333333
ID139,-0.22916666666666666
ID140,-1.0
ID142,-0.125
ID144,-0.08333333333333333
ID147,1.0
ID148,5.333333333333333
ID149,-0.5
ID151,-0.20833333333333334
ID153,-0.3958333333333333
ID165,1.1875
ID171,-1.0
ID172,-1.0
ID201,11.1875
ID202,-0.4375
ID203,-0.8125
ID204,-0.375
ID207,-0.8333333333333334
ID208,-0.4166666666666667
ID209,-0.7291666666666666
ID214,29.625
ID225,-0.3125
ID227,-0.875
ID232,-0.6458333333333334
ID236,-0.4375
ID240,-0.5416666666666666
ID241,-0.5
ID243,-0.3333333333333333
ID252,-0.8958333333333334
ID272,-0.6875
ID280,-0.3125
ID292,5.020833333333333
ID294,0.08333333333333333
ID299,-0.5
ID300,4.8125
ID301,-0.25
ID302,-0.3958333333333333
ID306,63.645833333333336
ID307,-0.8541666666666666
ID308,0.25
ID311,-0.8958333333333334
ID314,-0.20833333333333334
ID328,-0.2916666666666667
ID353,11.166666666666666
ID390,-0.5
ID396,0.9583333333333334
ID398,332.0416666666667
ID399,-0.020833333333333332
ID400,-0.16666666666666666
ID403,-1.0
ID405,0.7916666666666666
ID406,0.0
ID407,25.229166666666668
ID409,6.458333333333333
ID410,-0.1875
ID411,1.0833333333333333
ID412,1.0416666666666667
ID413,0.0
ID414,3.1458333333333335
ID415,-0.1875
ID417,-0.041666666666666664
ID418,2.0833333333333335
ID419,18.354166666666668
ID420,-0.2916666666666667
ID431,0.0
ID433,-0.4375
ID434,0.0
ID435,-0.22916666666666666
ID436,0.0
ID438,5.0
ID440,-0.125
ID441,0.0
ID442,-0.020833333333333332
ID443,-0.2916666666666667
ID444,31.625
ID445,17.854166666666668
ID446,3.1041666666666665
ID449,6.395833333333333
ID450,-0.4583333333333333
ID451,-0.3333333333333333
ID452,1.75
ID453,1.3333333333333333
ID458,6.270833333333333
ID459,0.0
ID460,0.0
ID461,0.0
ID462,8.375
ID463,-0.020833333333333332
ID464,-0.5833333333333334
ID465,0.9166666666666666
ID467,76.35416666666667
ID471,5.0625
ID472,54.041666666666664
ID474,0.0
ID475,0.16666666666666666
ID476,0.7708333333333334
ID477,0.0
ID478,-0.16666666666666666
ID479,-0.020833333333333332
ID480,-0.20833333333333334
ID482,0.9166666666666666
ID483,10.229166666666666
ID484,3.0
ID488,-1.0
ID489,-0.020833333333333332
ID490,5.395833333333333
ID491,0.0
ID492,0.0
ID493,-0.1875
ID495,66.75
ID496,0.0
ID497,-0.1875
ID498,-0.16666666666666666
ID499,15.458333333333334
ID500,-0.020833333333333332
ID501,0.0
ID502,-0.625
ID503,-0.041666666666666664
ID504,-0.0625
ID505,23.895833333333332
ID506,0.0
ID508,-0.2708333333333333
ID509,0.0
ID510,-0.1875
ID512,0.0
ID514,0.0
ID515,-0.3333333333333333
ID516,0.0
ID517,0.0
ID520,19.083333333333332
ID521,-0.6875
ID523,0.0
ID524,-0.16666666666666666
ID526,8.5
ID527,0.9583333333333334
ID528,1.0
ID529,0.0
ID530,0.0
ID531,0.0
ID532,0.0
ID533,-0.16666666666666666
ID534,0.0
ID535,12.625
ID537,-0.16666666666666666
ID538,-0.16666666666666666
ID539,49.520833333333336
ID540,58.625
ID541,0.0
ID542,-1.0
ID543,-0.16666666666666666
ID544,6.770833333333333
ID545,329.1458333333333
ID547,412.0208333333333
ID548,8.020833333333334
ID549,-0.041666666666666664
ID550,0.0
ID551,7.520833333333333
ID552,0.0
ID553,-0.020833333333333332
ID554,0.0
ID555,0.0
ID556,-0.7291666666666666
ID557,-0.0625
ID558,14.0
ID559,7.5
ID560,1.4583333333333333
ID561,91.1875
ID562,0.625
ID563,-0.7291666666666666
ID564,-0.7291666666666666
ID565,-0.2916666666666667
ID567,4.208333333333333
ID568,4.708333333333333
ID569,-0.3958333333333333
ID570,-0.08333333333333333
ID571,-0.16666666666666666
ID573,-0.16666666666666666
ID576,-0.041666666666666664
ID577,5.708333333333333
ID578,4.083333333333333
ID579,-0.020833333333333332
ID580,0.0
ID581,5.166666666666667
ID582,13.1875
ID583,-0.0625
ID584,-0.75
ID585,-0.16666666666666666
ID586,-0.16666666666666666
ID587,-0.8541666666666666
ID588,-0.16666666666666666
ID589,6.833333333333333
ID590,10.0625
ID591,-0.041666666666666664
ID592,-0.0625
ID596,2.2291666666666665
ID597,-0.16666666666666666
ID599,-0.16666666666666666
ID600,-0.020833333333333332
ID601,-0.041666666666666664
ID602,-0.041666666666666664
ID605,0.875
ID606,2.6666666666666665
ID607,3.5
ID608,451.9791666666667
ID609,-0.16666666666666666
ID610,5.3125
ID611,-0.16666666666666666
ID613,31.020833333333332
ID614,9.4375
ID615,0.0
ID616,-0.0625
ID617,1.6458333333333333
ID618,59.25
ID619,-0.08333333333333333
