MovieID,Gender,avg(Rating)
2675,F,5.0
2129,F,5.0
3233,M,5.0
3656,M,5.0
687,F,5.0
3517,M,5.0
3280,M,5.0
1830,M,5.0
3817,F,5.0
130,M,5.0
1780,F,5.0
2332,F,5.0
2538,F,5.0
3245,F,5.0
394,F,5.0
2981,F,5.0
3172,M,5.0
3607,F,5.0
1420,F,5.0
854,F,5.0
3012,F,5.0
3641,F,5.0
787,F,5.0
1450,F,5.0
1153,F,5.0
985,M,5.0
681,F,5.0
1071,F,5.0
2444,F,5.0
3382,F,5.0
2760,F,5.0
3881,F,5.0
439,M,5.0
3888,F,5.0
3292,F,5.0
53,F,5.0
989,M,5.0
787,M,5.0
670,F,4.842105263157895
2931,M,4.833333333333333
1423,F,4.833333333333333
2503,F,4.75
3245,M,4.75
2904,F,4.75
669,F,4.666666666666667
598,M,4.666666666666667
53,M,4.666666666666667
2569,F,4.666666666666667
2776,F,4.666666666666667
297,F,4.666666666666667
745,F,4.644444444444445
2905,M,4.639344262295082
2197,F,4.6
617,F,4.6
214,F,4.6
2503,M,4.6
1148,F,4.588235294117647
3338,M,4.583333333333333
858,M,4.583333333333333
2019,M,4.576628352490421
3022,F,4.575757575757576
922,F,4.572649572649572
668,F,4.571428571428571
720,F,4.563106796116505
527,F,4.56260162601626
3134,F,4.560975609756097
318,M,4.560625
318,F,4.539074960127592
1223,F,4.537878787878788
1207,F,4.536666666666667
1198,M,4.520597322348094
50,M,4.518248175182482
3429,F,4.513888888888889
50,F,4.513317191283293
2994,F,4.5
2215,F,4.5
2480,M,4.5
1795,M,4.5
578,M,4.5
2309,F,4.5
1743,F,4.5
90,F,4.5
3644,F,4.5
2593,F,4.5
3349,F,4.5
3495,F,4.5
2930,F,4.5
3232,F,4.5
557,M,4.5
1384,F,4.5
106,F,4.5
2839,F,4.5
2627,F,4.5
1664,M,4.5
2493,F,4.5
128,M,4.5
905,F,4.5
2833,F,4.5
1533,F,4.5
260,M,4.495307167235495
527,M,4.49141503848431
2731,F,4.48936170212766
1178,M,4.485148514851486
904,F,4.484536082474227
2019,F,4.481132075471698
1148,M,4.478260869565218
2762,F,4.477409638554217
745,M,4.473794549266247
3679,F,4.473684210526316
904,M,4.4729907773386035
3435,M,4.468354430379747
1212,F,4.466019417475728
750,M,4.464788732394366
922,M,4.4645892351274785
910,F,4.462745098039216
3808,F,4.461538461538462
912,M,4.461340206185567
3307,F,4.4520547945205475
930,F,4.448717948717949
1212,M,4.448275862068965
898,F,4.446808510638298
3416,F,4.444444444444445
1111,F,4.44
1204,M,4.439821693907875
1221,M,4.437777777777778
1076,F,4.428571428571429
3221,F,4.428571428571429
850,F,4.428571428571429
3030,F,4.423076923076923
2324,F,4.422343324250681
3091,F,4.421052631578948
1193,M,4.418423106947697
2186,F,4.4148148148148145
2351,F,4.411764705882353
913,M,4.410891089108911
1262,M,4.408940397350993
923,M,4.407894736842105
1900,F,4.407407407407407
3089,F,4.407407407407407
2937,M,4.40625
3030,M,4.402116402116402
1250,M,4.401505646173149
2609,F,4.4
3410,M,4.4
1117,F,4.4
2624,F,4.4
954,F,4.4
363,F,4.4
2028,M,4.398941289701636
1189,F,4.396551724137931
1178,F,4.392857142857143
908,M,4.390640895218718
720,M,4.385074626865672
593,M,4.381944444444445
2762,M,4.379944289693594
1299,F,4.378048780487805
750,F,4.376623376623376
326,F,4.375
3816,F,4.375
2905,F,4.375
1207,M,4.372611464968153
1217,F,4.365079365079365
908,F,4.364457831325301
3307,M,4.363636363636363
1136,M,4.3632718524458705
926,F,4.3630573248407645
1252,M,4.362365591397849
2571,M,4.362235067437379
3077,M,4.362068965517241
3090,F,4.358974358974359
1267,F,4.358823529411764
1234,M,4.355974842767296
919,F,4.355029585798817
916,F,4.353211009174312
2203,F,4.352112676056338
1254,M,4.3489010989010985
2357,F,4.3478260869565215
2858,M,4.347300564061241
296,M,4.346838551258441
1225,F,4.346733668341709
3470,M,4.346666666666667
1147,M,4.3464912280701755
906,F,4.344827586206897
913,F,4.3446808510638295
1196,M,4.344577284372331
3089,M,4.343434343434343
1197,F,4.3427672955974845
1236,F,4.342105263157895
914,F,4.336666666666667
682,M,4.333333333333333
2930,M,4.333333333333333
3192,F,4.333333333333333
1273,F,4.333333333333333
2859,F,4.333333333333333
863,F,4.333333333333333
1131,M,4.333333333333333
1502,F,4.333333333333333
899,F,4.333333333333333
668,M,4.333333333333333
665,F,4.333333333333333
37,F,4.333333333333333
2304,F,4.333333333333333
503,F,4.333333333333333
97,F,4.333333333333333
2342,F,4.333333333333333
3532,F,4.333333333333333
2358,M,4.333333333333333
841,F,4.333333333333333
3083,F,4.333333333333333
326,M,4.333333333333333
324,F,4.333333333333333
1233,M,4.332549941245594
1198,F,4.3321678321678325
923,F,4.332142857142857
3469,M,4.331606217616581
1213,M,4.331278890600925
3022,M,4.329479768786127
678,F,4.329411764705882
1203,M,4.328421052631579
1267,M,4.326050420168067
2788,F,4.325581395348837
1272,M,4.3248638838475495
2692,F,4.324626865671642
1284,M,4.324519230769231
969,F,4.324232081911263
2206,F,4.32258064516129
1172,F,4.317535545023697
1260,F,4.316666666666666
858,F,4.3146997929606625
911,F,4.31404958677686
951,F,4.3125
541,M,4.3125
928,F,4.312138728323699
1193,F,4.3108108108108105
953,F,4.31
1131,F,4.308641975308642
2360,M,4.3076923076923075
2360,F,4.3076923076923075
3739,F,4.3076923076923075
3801,F,4.3061224489795915
1250,F,4.304964539007092
937,F,4.304347826086956
1066,F,4.30379746835443
260,F,4.302936630602782
912,F,4.300990099009901
1949,F,4.3
2208,F,4.3
1260,M,4.298387096774194
110,M,4.297838692672641
1224,M,4.2972136222910216
1237,M,4.296137339055794
950,M,4.295918367346939
1276,M,4.295755968169761
1945,M,4.295165394402035
953,M,4.294896030245747
1208,M,4.294884653961885
3789,F,4.294117647058823
1223,M,4.293255131964809
1278,F,4.289962825278811
1197,M,4.288941736028537
1248,M,4.288888888888889
2324,M,4.286624203821656
